cycle_date,recovery_score,hrv_ms,resting_hr_bpm,sleep_performance_pct,sleep_duration_min,day_strain,workout_strain,primary_activity
2026-05-16,70,60.6,56.9,81,422,10.1,7.4,Walking
2026-05-17,77,65.7,64.7,90,479,11.4,5.8,Cricket
2026-05-18,91,57.3,59.2,75,452,17.2,14.3,Running
2026-05-19,80,60.5,61.6,87,445,11.2,8.4,Walking
2026-05-20,43,41.8,65.1,87,400,10.6,5.0,Walking
2026-05-21,80,47.6,57.0,90,445,13.8,11.5,Rest
2026-05-22,53,57.1,60.3,79,403,11.2,6.5,Rest
2026-05-23,64,44.2,59.3,85,422,11.0,6.1,Running
2026-05-24,55,40.8,56.9,89,445,10.1,8.4,Walking
2026-05-25,73,58.4,60.2,94,468,10.8,3.9,Rest
2026-05-26,56,39.0,56.2,89,407,13.5,9.8,Walking
2026-05-27,74,43.5,57.7,80,407,13.0,6.5,Walking
2026-05-28,62,38.5,60.9,80,434,14.3,10.2,Rest
2026-05-29,50,56.9,62.0,91,484,9.6,7.9,Walking
2026-05-30,80,65.3,59.7,81,455,16.6,14.3,Running
2026-05-31,86,64.2,61.0,94,542,11.5,6.2,Walking
2026-06-01,73,63.2,59.7,95,495,11.7,8.4,Walking
2026-06-02,74,48.6,60.1,89,421,11.8,6.4,Walking
2026-06-03,52,32.8,59.0,69,386,8.7,3.7,Running
2026-06-04,73,44.5,59.7,95,483,13.9,10.5,Walking
2026-06-05,61,38.6,59.8,79,436,10.8,7.9,Walking
2026-06-06,59,57.4,60.9,86,430,16.1,11.9,Weightlifting
2026-06-07,62,49.6,60.2,97,456,13.5,7.8,Walking
2026-06-08,77,49.0,58.8,80,448,13.1,8.5,Weightlifting
2026-06-09,68,49.0,60.8,87,431,9.1,7.5,Weightlifting
2026-06-10,71,55.3,59.6,86,472,13.9,11.6,Running
2026-06-11,45,42.0,59.8,90,452,11.7,6.8,Rest
2026-06-12,69,43.4,61.3,80,416,15.0,8.7,Running
2026-06-13,49,45.2,62.2,100,536,11.2,8.6,Weightlifting
2026-06-14,80,54.4,59.9,100,501,13.8,7.0,Rest
2026-06-15,58,39.6,58.9,90,449,11.0,5.3,Rest
2026-06-16,80,55.7,60.2,80,429,14.1,12.8,Weightlifting
2026-06-17,53,48.7,61.3,76,371,9.8,4.4,Cricket
2026-06-18,53,49.5,62.5,96,464,10.4,7.0,Cricket
2026-06-19,73,53.9,60.7,99,461,14.3,11.3,Walking
2026-06-20,75,49.6,57.2,91,428,11.9,6.5,Rest
2026-06-21,49,54.0,63.2,79,437,14.1,8.5,Rest
2026-06-22,48,49.5,61.9,100,528,10.7,6.5,Running
2026-06-23,84,47.9,60.3,78,412,16.1,13.0,Weightlifting
2026-06-24,67,50.4,61.9,83,433,12.4,9.0,Running
2026-06-25,93,59.4,55.6,100,570,9.7,4.4,Running
2026-06-26,66,54.5,58.5,81,397,15.6,11.5,Running
2026-06-27,65,46.3,60.0,94,467,11.3,6.9,Walking
2026-06-28,63,46.2,61.0,92,476,16.0,12.4,Walking
2026-06-29,85,52.1,59.3,100,491,12.9,11.7,Rest
2026-06-30,88,51.2,59.2,100,524,12.7,11.7,Weightlifting
2026-07-01,76,57.3,60.2,90,430,14.7,10.3,Weightlifting
2026-07-02,71,49.9,59.0,82,447,8.5,5.7,Running
2026-07-03,73,43.8,62.7,79,397,10.1,7.0,Weightlifting
2026-07-04,87,58.8,57.6,99,479,9.0,4.7,Running
2026-07-05,80,55.5,57.9,88,470,11.5,10.1,Walking
2026-07-06,65,41.2,59.1,100,497,13.0,10.0,Walking
2026-07-07,82,60.5,55.6,86,431,4.7,0.3,Cricket
2026-07-08,60,45.7,60.4,90,460,10.4,3.9,Rest
2026-07-09,69,48.7,59.5,87,462,8.6,7.1,Running
